优先级,地区,国家,指南lastmod,闲置天数,法规条数,备注
🔴高,欧洲,德国,2026-03-05,186,27,
🔴高,中东,沙特阿拉伯,2026-03-11,180,9,
🔴高,东南亚,泰国,2026-03-13,178,4,
🔴高,东南亚,印度,2026-03-16,175,12,
🔴高,东南亚,印度尼西亚,2026-03-17,174,8,
🔴高,东南亚,马来西亚,2026-03-18,173,7,
🔴高,东南亚,新加坡,2026-03-19,172,7,
🔴高,欧洲,英国,2026-03-25,166,8,
🔴高,欧洲,西班牙,2026-03-26,165,2,
🔴高,欧洲,匈牙利,2026-03-30,161,1,
🔴高,东南亚,孟加拉国,2026-04-08,152,0,
🔴高,东南亚,缅甸,2026-04-09,151,1,
🔴高,欧洲,法国,2026-04-10,150,0,
🔴高,欧洲,意大利,2026-04-13,147,1,
🔴高,欧洲,荷兰,2026-04-14,146,0,
🔴高,欧洲,波兰,2026-04-16,144,1,
🔴高,欧洲,捷克,2026-04-17,143,1,
🔴高,欧洲,比利时,2026-04-27,133,0,
🔴高,欧洲,瑞典,2026-04-29,131,1,
🔴高,欧洲,爱尔兰,2026-04-30,130,1,
🔴高,欧洲,奥地利,2026-05-06,124,1,
🔴高,欧洲,丹麦,2026-05-07,123,1,
🔴高,欧洲,挪威,2026-05-08,122,1,
🔴高,欧洲,瑞士,2026-05-12,118,1,
🔴高,中东,卡塔尔,2026-05-13,117,1,
🔴高,欧洲,爱沙尼亚,2026-05-14,116,1,
🔴高,欧洲,保加利亚,2026-05-15,115,1,
🔴高,欧洲,冰岛,2026-05-18,112,1,
🔴高,欧洲,卢森堡,2026-05-20,110,0,
🔴高,欧洲,葡萄牙,2026-05-21,109,1,
🔴高,欧洲,斯洛伐克,2026-05-22,108,1,
🔴高,欧洲,希腊,2026-05-26,104,1,
🔴高,中东,阿联酋,2026-05-29,101,1,
🔴高,中东,土耳其,2026-06-01,98,1,
🔴高,东南亚,菲律宾,2026-06-05,94,1,
🔴高,东南亚,越南,2026-06-08,91,1,疑似重复(-1)
🔴高,东南亚,巴基斯坦,2026-06-12,87,1,
🔴高,东南亚,斯里兰卡,2026-06-16,83,1,
🔴高,东南亚,柬埔寨,2026-06-17,82,1,
🔴高,中东,以色列,2026-06-18,81,1,
🔴高,中东,科威特,2026-06-22,77,0,
🔴高,中东,巴林,2026-06-23,76,2,
🔴高,中东,伊朗,2026-06-26,73,5,
🔴高,欧洲,克罗地亚,2026-07-01,68,0,
🔴高,欧洲,立陶宛,2026-07-02,67,5,
🔴高,中东,阿曼,2026-07-03,66,0,
🔴高,欧洲,罗马尼亚,—,-1,4,仅有法规无国别指南
🔴高,中东,也门,—,-1,2,仅有法规无国别指南
🔴高,中东,叙利亚,—,-1,2,仅有法规无国别指南
🟡中,中亚独联体,哈萨克斯坦,2026-03-05,186,3,
🟡中,中亚独联体,阿塞拜疆,2026-03-31,160,1,
🟡中,拉美,墨西哥,2026-04-01,159,1,
🟡中,拉美,巴西,2026-04-03,157,1,
🟡中,拉美,哥伦比亚,2026-04-07,153,1,
🟡中,非洲,几内亚,2026-04-09,151,0,
🟡中,非洲,尼日利亚,2026-04-20,140,1,疑似重复(-1)
🟡中,拉美,阿根廷,2026-04-21,139,0,
🟡中,非洲,埃及,2026-04-22,138,1,
🟡中,拉美,智利,2026-04-23,137,0,
🟡中,非洲,阿尔及利亚,2026-04-24,136,0,
🟡中,中亚独联体,俄罗斯,2026-05-19,111,1,疑似重复(-1)
🟡中,中亚独联体,乌克兰,2026-05-25,105,1,
🟡中,拉美,巴拿马,2026-05-27,103,0,
🟡中,非洲,南非,2026-05-28,102,1,
🟡中,中亚独联体,乌兹别克斯坦,2026-06-04,95,0,
🟡中,拉美,秘鲁,2026-06-10,89,0,
🟡中,非洲,坦桑尼亚,2026-06-11,88,1,
🟡中,中亚独联体,白俄罗斯,2026-06-30,69,5,
🟡中,非洲,加纳,2026-07-06,63,3,
🟡中,中亚独联体,蒙古,2026-07-07,62,1,
🟡中,非洲,喀麦隆,—,-1,4,仅有法规无国别指南
🟡中,拉美,哥斯达黎加,—,-1,1,仅有法规无国别指南
🟡中,非洲,肯尼亚,—,-1,1,仅有法规无国别指南
🟡中,拉美,洪都拉斯,—,-1,2,仅有法规无国别指南
🟡中,非洲,科特迪瓦,—,-1,4,仅有法规无国别指南
🟡中,非洲,乌干达,—,-1,1,仅有法规无国别指南
🟢低,大洋洲,澳大利亚,2026-03-12,179,17,
🟢低,东亚,日本,2026-03-20,171,7,
🟢低,北美,美国,2026-03-23,168,12,
🟢低,北美,加拿大,2026-03-24,167,5,
🟢低,大洋洲,新西兰,2026-05-12,118,1,
🟢低,东亚,韩国,2026-06-09,90,1,
🟢低,其他,安道尔,2026-06-29,70,0,
🟢低,东亚,中国,—,-1,2,仅有法规无国别指南
🟢低,东亚,朝鲜,—,-1,1,仅有法规无国别指南
⚪待定,未分类,cyprus-country-guide-oman,2026-06-26,73,0,
⚪待定,未分类,china-taiwan-country-guideqatar,2026-07-08,61,0,
⚪待定,—,⚠️countryTag异常,—,-1,1,countryTag 非国家名
